18:21:19.331 325 zb_mac_transport_linux_pipes.c:548	delta 1001 (65)
18:21:19.331 390 zb_mac_transport_linux_pipes.c:569	timer 390, delta_rest 0
18:21:19.331 390 zb_mac_transport_linux_pipes.c:590	timeout
18:21:19.332 390 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:19.332 390 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:19.332 390 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:19.332 390 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:19.332 390 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:19.332 390 zb_mac_transport_linux_pipes.c:513	timer stop 452 timer 390  tmo 62
18:21:19.332 390 zb_mac_transport_linux_pipes.c:529	select() timeout 0.948000
18:21:20.282 390 zb_mac_transport_linux_pipes.c:548	delta 951 (62)
18:21:20.282 452 zb_mac_transport_linux_pipes.c:569	timer 452, delta_rest 0
18:21:20.282 452 zb_mac_transport_linux_pipes.c:590	timeout
18:21:20.282 452 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:20.282 452 zb_scheduler.c:145	0x564fd561c708 calling alarm cb 0x564fd53f4c5f param 0
18:21:20.282 452 nwk_cr_mesh_routing.c:736	>> exp_r_disc
18:21:20.282 452 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c728
18:21:20.282 452 zb_scheduler.c:294	0x564fd561c728 scheduled alarm 0x564fd53f4c5f, run_after 130, at 582, param 0
18:21:20.282 452 zb_scheduler.c:349	cur t 452, head t 514
18:21:20.282 452 nwk_cr_mesh_routing.c:784	<< exp_r_disc
18:21:20.282 452 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:20.282 452 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:20.282 452 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:20.282 452 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:20.282 452 zb_mac_transport_linux_pipes.c:524	default timeout 1
