18:21:29.291 514 zb_scheduler.c:254	0x55568237a460 scheduled cb 0x55568216d775 param 3 (in_b 0)
18:21:29.291 514 nwk_join.c:276	<<assoc_join 0
18:21:29.291 514 nwk_join.c:929	<<join_req 0
18:21:29.291 514 zb_scheduler.c:105	cb_q written 1, read_i 8, write_i 9
18:21:29.291 514 zb_scheduler.c:115	0x55568237a460 calling cb 0x55568216d775 param 3 in_b 0 len 98
18:21:29.291 514 mac_associate.c:83	>>mlme_ass_req 3
18:21:29.291 514 mac_associate.c:169	mac hw setup before associate
18:21:29.292 514 mac_associate.c:111	<<mlme_ass_req, continue scheduled
18:21:29.292 514 mac_associate.c:235	>>mlme_send_ass_req_cmd 0x55568237abfe
18:21:29.292 514 mac.c:578	>>mac_fill_mhr
18:21:29.292 514 mac.c:629	<<mac_fill_mhr
18:21:29.292 514 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x55568237a990
18:21:29.292 514 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #4 buf 0x55568237a990 / 0 in_b 0 (size 22) is_w 1
18:21:29.292 514 zb_mac_transport_linux_pipes.c:182	t: start 1557933681; t 1557933689 292233, time 541
18:21:29.292 514 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:29.292 514 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:29.301 514 zb_mac_transport_linux_pipes.c:79	written: len 22 total 22
18:21:29.301 514 zb_mac_transport_linux_pipes.c:86	16 23 C8 1B F9 82 00 00 FF FF 02 02 02 02 02 02 
18:21:29.301 514 zb_mac_transport_linux_pipes.c:93	02 02 01 80 F5 0A 
18:21:29.301 514 zb_mac_transport_linux_pipes.c:446	out buffer is sent
18:21:29.301 514 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 22
18:21:29.301 514 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
18:21:29.301 514 mac_associate.c:286	<<mlme_send_ass_req_cmd, ret 0
18:21:29.301 514 mac_data.c:187	>> zb_mac_check_ack
18:21:29.301 514 zb_scheduler.c:283	tm_freelist, get nent 0x55568237a708
